                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.9494,                 1.7773,                  1.409,                0.63614,                0.58465,                0.60998,                0.27277,                 1.8345,                 1.5077,                 1.3445,               0.008581,               0.008581,               0.008581
                     46,                  1.952,                 1.7714,                 1.4115,                 0.6405,                0.58024,                0.61121,                0.27327,                 1.8292,                 1.5062,                 1.3415,               0.008548,               0.008548,               0.008548
                     47,                 1.9555,                 1.7617,                 1.4099,                0.64437,                0.57582,                 0.6094,                 0.2736,                 1.8296,                 1.5044,                 1.3421,               0.008515,               0.008515,               0.008515
                     48,                 1.9544,                 1.7779,                 1.4111,                0.64956,                0.57044,                0.60985,                0.27469,                 1.8283,                 1.5005,                 1.3394,               0.008482,               0.008482,               0.008482
                     49,                 1.9515,                 1.7691,                 1.4061,                0.65332,                0.56887,                0.61009,                  0.275,                 1.8289,                 1.4984,                 1.3386,               0.008449,               0.008449,               0.008449
                     50,                 1.9532,                 1.7633,                 1.4062,                 0.6554,                0.56743,                0.61079,                0.27548,                  1.827,                 1.4949,                 1.3381,               0.008416,               0.008416,               0.008416
                     51,                 1.9453,                 1.7607,                 1.4059,                0.65208,                0.55882,                0.60887,                0.27531,                 1.8291,                 1.4946,                 1.3389,               0.008383,               0.008383,               0.008383
                     52,                 1.9523,                 1.7599,                 1.4065,                0.64686,                0.57159,                0.61117,                0.27557,                 1.8296,                 1.4925,                 1.3398,                0.00835,                0.00835,                0.00835
                     53,                 1.9447,                 1.7529,                 1.4007,                0.64331,                0.56887,                0.61167,                0.27389,                 1.8332,                 1.4959,                   1.34,               0.008317,               0.008317,               0.008317
                     54,                 1.9462,                 1.7545,                 1.4036,                0.63971,                0.56743,                0.61091,                0.27487,                 1.8345,                 1.4949,                 1.3404,               0.008284,               0.008284,               0.008284
                     55,                  1.957,                 1.7626,                 1.4037,                0.64527,                0.56098,                0.61266,                0.27615,                 1.8368,                 1.4979,                 1.3414,               0.008251,               0.008251,               0.008251
                     56,                 1.9513,                 1.7586,                 1.4042,                0.64598,                0.56743,                0.61337,                0.27627,                 1.8371,                 1.4972,                 1.3416,               0.008218,               0.008218,               0.008218
                     57,                 1.9483,                 1.7561,                 1.4084,                0.64446,                  0.566,                0.61415,                0.27732,                 1.8342,                 1.4957,                 1.3411,               0.008185,               0.008185,               0.008185
                     58,                 1.9491,                 1.7538,                 1.4052,                 0.6559,                0.55516,                0.61582,                0.27639,                 1.8346,                 1.4955,                 1.3414,               0.008152,               0.008152,               0.008152
                     59,                 1.9361,                 1.7479,                  1.402,                0.64839,                0.56815,                0.61784,                0.27644,                 1.8335,                 1.4951,                 1.3411,               0.008119,               0.008119,               0.008119
                     60,                 1.9434,                 1.7486,                 1.4013,                 0.6447,                0.57102,                0.61831,                 0.2776,                 1.8347,                 1.4941,                 1.3417,               0.008086,               0.008086,               0.008086
                     61,                 1.9439,                 1.7362,                 1.4007,                0.63786,                0.56958,                0.61894,                0.27829,                  1.836,                 1.4911,                 1.3423,               0.008053,               0.008053,               0.008053
                     62,                 1.9409,                 1.7352,                 1.3989,                0.63106,                0.57546,                0.61989,                 0.2791,                 1.8357,                 1.4909,                  1.343,                0.00802,                0.00802,                0.00802
                     63,                 1.9312,                 1.7302,                 1.3916,                0.63044,                0.57676,                0.61861,                0.27869,                 1.8355,                 1.4909,                 1.3426,               0.007987,               0.007987,               0.007987
                     64,                 1.9411,                  1.747,                  1.399,                0.63518,                0.57532,                0.61772,                0.27863,                 1.8342,                 1.4912,                 1.3419,               0.007954,               0.007954,               0.007954
                     65,                 1.9357,                 1.7262,                 1.3906,                0.64316,                0.56502,                0.61697,                0.27864,                 1.8322,                 1.4921,                 1.3412,               0.007921,               0.007921,               0.007921
                     66,                 1.9333,                 1.7292,                  1.394,                 0.6554,                0.55803,                0.61903,                 0.2795,                 1.8328,                 1.4911,                 1.3417,               0.007888,               0.007888,               0.007888
                     67,                 1.9356,                 1.7346,                 1.3993,                0.65333,                0.55954,                0.61939,                0.27983,                 1.8325,                  1.491,                  1.341,               0.007855,               0.007855,               0.007855
                     68,                 1.9266,                 1.7247,                 1.3938,                0.64648,                0.56409,                 0.6183,                0.27925,                 1.8312,                 1.4897,                 1.3408,               0.007822,               0.007822,               0.007822
                     69,                 1.9274,                 1.7198,                 1.3906,                0.63905,                0.56646,                0.61853,                  0.279,                 1.8312,                 1.4891,                 1.3414,               0.007789,               0.007789,               0.007789
                     70,                  1.929,                 1.7291,                 1.3898,                0.64165,                0.56528,                0.61918,                0.27939,                 1.8309,                 1.4884,                 1.3421,               0.007756,               0.007756,               0.007756
                     71,                 1.9313,                 1.7315,                 1.3936,                0.64125,                0.56887,                0.61926,                0.28033,                 1.8318,                 1.4865,                 1.3422,               0.007723,               0.007723,               0.007723
                     72,                   1.93,                 1.7207,                 1.3925,                0.63889,                0.57241,                0.61999,                0.27986,                 1.8323,                 1.4847,                 1.3431,                0.00769,                0.00769,                0.00769
                     73,                 1.9241,                 1.7173,                 1.3857,                0.63844,                0.57381,                0.62047,                0.28008,                 1.8326,                 1.4848,                 1.3429,               0.007657,               0.007657,               0.007657
                     74,                  1.924,                 1.7108,                 1.3846,                0.63509,                0.57891,                0.61959,                0.28024,                 1.8344,                 1.4833,                 1.3436,               0.007624,               0.007624,               0.007624
                     75,                 1.9303,                 1.7146,                 1.3878,                0.63362,                0.58034,                0.62093,                0.28073,                 1.8344,                 1.4803,                 1.3431,               0.007591,               0.007591,               0.007591
                     76,                 1.9235,                 1.7081,                 1.3851,                0.62918,                0.58059,                0.62046,                0.28059,                 1.8338,                   1.48,                 1.3427,               0.007558,               0.007558,               0.007558
                     77,                 1.9209,                 1.7119,                 1.3859,                0.63169,                0.58034,                0.62012,                0.28006,                  1.834,                 1.4798,                  1.342,               0.007525,               0.007525,               0.007525
                     78,                  1.914,                 1.7169,                 1.3844,                0.63346,                 0.5802,                0.62011,                0.28053,                 1.8342,                  1.479,                 1.3422,               0.007492,               0.007492,               0.007492
                     79,                 1.9234,                 1.7093,                  1.384,                0.63297,                0.58824,                0.62122,                0.28113,                 1.8357,                 1.4777,                 1.3428,               0.007459,               0.007459,               0.007459
                     80,                 1.9131,                 1.6974,                 1.3805,                0.63309,                0.58465,                0.61958,                0.28064,                 1.8375,                 1.4771,                 1.3429,               0.007426,               0.007426,               0.007426
                     81,                 1.9154,                 1.7047,                 1.3817,                0.63086,                 0.5868,                0.61991,                0.28191,                 1.8366,                 1.4751,                 1.3431,               0.007393,               0.007393,               0.007393
                     82,                  1.929,                 1.7037,                 1.3811,                0.63377,                0.58346,                0.61974,                0.28206,                 1.8369,                 1.4748,                  1.343,                0.00736,                0.00736,                0.00736
                     83,                 1.9245,                 1.7033,                  1.381,                0.63677,                0.58227,                 0.6197,                0.28238,                  1.837,                 1.4752,                 1.3433,               0.007327,               0.007327,               0.007327
                     84,                 1.9202,                 1.7049,                   1.38,                0.63558,                0.57963,                0.61995,                0.28282,                  1.838,                 1.4743,                  1.343,               0.007294,               0.007294,               0.007294
                     85,                 1.9131,                 1.6912,                 1.3732,                 0.6426,                 0.5817,                0.62184,                0.28301,                 1.8369,                 1.4741,                 1.3425,               0.007261,               0.007261,               0.007261
                     86,                 1.9253,                 1.7054,                 1.3814,                0.63976,                0.58321,                0.62204,                0.28285,                 1.8376,                 1.4734,                 1.3432,               0.007228,               0.007228,               0.007228
                     87,                 1.9236,                 1.7021,                 1.3836,                0.64498,                0.57819,                0.62259,                0.28297,                 1.8376,                  1.473,                 1.3424,               0.007195,               0.007195,               0.007195
                     88,                 1.9165,                 1.6941,                 1.3764,                0.64198,                0.57747,                0.62249,                0.28302,                 1.8368,                 1.4715,                 1.3419,               0.007162,               0.007162,               0.007162
                     89,                 1.9171,                 1.6966,                 1.3792,                0.64581,                0.57747,                0.62307,                0.28334,                 1.8372,                 1.4699,                 1.3416,               0.007129,               0.007129,               0.007129
                     90,                 1.9135,                 1.6912,                 1.3743,                  0.635,                0.58608,                0.62423,                 0.2831,                 1.8371,                 1.4679,                 1.3416,               0.007096,               0.007096,               0.007096
                     91,                 1.9095,                 1.6952,                 1.3812,                0.63211,                0.58465,                0.62481,                0.28301,                  1.837,                 1.4679,                  1.341,               0.007063,               0.007063,               0.007063
                     92,                  1.904,                 1.6838,                  1.375,                0.63752,                0.58178,                0.62488,                0.28296,                 1.8382,                 1.4691,                  1.341,                0.00703,                0.00703,                0.00703
                     93,                 1.9045,                 1.6796,                 1.3716,                0.63812,                 0.5825,                0.62492,                0.28286,                 1.8395,                 1.4681,                 1.3408,               0.006997,               0.006997,               0.006997
                     94,                 1.9102,                 1.6757,                 1.3704,                0.63518,                0.58952,                0.62668,                0.28326,                 1.8387,                 1.4677,                 1.3403,               0.006964,               0.006964,               0.006964
                     95,                 1.8998,                 1.6695,                 1.3719,                0.63289,                 0.5868,                0.62569,                0.28265,                 1.8383,                 1.4665,                 1.3393,               0.006931,               0.006931,               0.006931
                     96,                 1.9109,                 1.6739,                 1.3694,                0.63435,                0.58752,                0.62485,                0.28371,                 1.8391,                 1.4649,                 1.3396,               0.006898,               0.006898,               0.006898
                     97,                 1.8932,                 1.6638,                 1.3674,                0.64187,                0.58629,                0.62532,                0.28391,                 1.8397,                 1.4657,                 1.3391,               0.006865,               0.006865,               0.006865
                     98,                 1.9078,                 1.6722,                 1.3694,                0.64228,                0.58604,                0.62572,                0.28419,                 1.8388,                 1.4649,                 1.3384,               0.006832,               0.006832,               0.006832
                     99,                 1.9008,                 1.6661,                 1.3651,                0.64238,                0.59182,                0.62538,                0.28455,                 1.8399,                 1.4637,                 1.3392,               0.006799,               0.006799,               0.006799
                    100,                 1.8996,                 1.6713,                 1.3627,                0.64131,                0.59613,                0.62602,                0.28561,                 1.8406,                 1.4638,                  1.339,               0.006766,               0.006766,               0.006766
