                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.7525,                 1.4672,                 1.4454,                0.70709,                 0.6363,                0.69964,                0.33029,                 1.7912,                 1.2688,                 1.4508,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.7514,                 1.4768,                 1.4415,                0.71103,                0.63415,                0.69838,                0.33029,                 1.7899,                 1.2676,                 1.4508,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.7428,                 1.4601,                 1.4361,                 0.7092,                0.63505,                0.69858,                0.33036,                 1.7896,                 1.2651,                 1.4509,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.7466,                 1.4639,                 1.4305,                0.70766,                 0.6363,                0.69945,                0.33001,                 1.7896,                 1.2634,                 1.4507,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.7413,                 1.4595,                 1.4333,                0.70686,                0.63702,                0.69924,                0.32991,                 1.7902,                 1.2634,                 1.4513,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.7374,                 1.4491,                 1.4295,                 0.7111,                0.63391,                0.69908,                0.33045,                 1.7894,                 1.2599,                 1.4502,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.7282,                 1.4362,                  1.431,                0.71105,                0.63486,                0.69951,                0.33098,                 1.7893,                 1.2587,                 1.4505,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.7342,                 1.4332,                 1.4307,                 0.7142,                0.63702,                0.70052,                0.33181,                 1.7886,                 1.2568,                 1.4506,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.7399,                 1.4492,                 1.4326,                  0.721,                0.63343,                0.70074,                 0.3315,                 1.7894,                 1.2553,                 1.4516,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.7347,                 1.4444,                 1.4313,                0.71896,                0.63415,                0.70201,                0.33109,                 1.7898,                 1.2529,                 1.4514,               0.009307,               0.009307,               0.009307
                     73,                 1.7241,                 1.4332,                 1.4291,                  0.721,                0.63343,                0.69989,                0.33054,                 1.7901,                 1.2508,                 1.4512,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.7282,                 1.4281,                 1.4271,                0.71272,                0.63773,                0.70143,                0.33075,                 1.7891,                 1.2495,                 1.4507,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.7231,                 1.4262,                 1.4216,                0.71517,                0.63773,                0.70425,                0.33017,                 1.7881,                 1.2486,                 1.4506,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.7187,                 1.4258,                 1.4238,                0.71681,                0.63916,                0.70448,                0.33049,                 1.7875,                 1.2467,                 1.4503,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.7202,                 1.4113,                 1.4178,                 0.7144,                 0.6442,                0.70373,                0.33057,                 1.7874,                  1.245,                   1.45,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.7049,                 1.4009,                 1.4117,                0.72134,                0.64132,                0.70467,                0.32984,                 1.7864,                 1.2434,                 1.4491,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.7045,                 1.3998,                 1.4131,                0.71792,                0.64085,                0.70376,                0.32968,                 1.7867,                 1.2439,                 1.4497,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.7116,                 1.4062,                 1.4098,                0.71171,                0.64288,                0.70401,                 0.3304,                 1.7864,                 1.2431,                 1.4493,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.7034,                 1.3967,                 1.4147,                0.70255,                0.65065,                0.70072,                0.33086,                 1.7867,                 1.2443,                 1.4491,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.7118,                 1.3983,                 1.4027,                0.70177,                0.64993,                0.70253,                0.33091,                 1.7886,                 1.2439,                   1.45,               0.009208,               0.009208,               0.009208
                     83,                 1.7024,                 1.3847,                  1.409,                0.71208,                0.64347,                0.70188,                0.33127,                 1.7886,                  1.244,                 1.4495,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.7023,                 1.3825,                 1.4048,                0.71518,                0.63773,                0.69753,                0.33096,                 1.7886,                 1.2447,                 1.4501,              0.0091882,              0.0091882,              0.0091882
                     85,                  1.701,                 1.3793,                 1.4018,                 0.7157,                0.63989,                0.69877,                0.33005,                 1.7886,                 1.2447,                 1.4492,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.6987,                 1.3778,                 1.4051,                 0.7178,                 0.6406,                 0.6995,                0.33077,                 1.7883,                 1.2423,                 1.4491,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.7019,                 1.3831,                 1.4099,                0.72798,                0.63415,                0.69952,                0.33098,                 1.7865,                 1.2406,                 1.4484,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.6969,                  1.374,                  1.404,                0.72605,                 0.6369,                0.69976,                0.33122,                 1.7862,                 1.2406,                 1.4475,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.6966,                 1.3752,                  1.398,                0.73598,                0.62697,                0.69919,                0.33173,                 1.7872,                 1.2405,                 1.4479,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.6916,                 1.3654,                 1.4003,                0.73414,                0.62697,                0.69847,                0.33155,                 1.7871,                 1.2364,                  1.448,              0.0091288,              0.0091288,              0.0091288
                     91,                  1.696,                 1.3685,                 1.3961,                0.73598,                0.62792,                0.69996,                 0.3318,                 1.7866,                 1.2359,                 1.4476,              0.0091189,              0.0091189,              0.0091189
                     92,                  1.687,                 1.3595,                 1.3941,                0.73436,                0.62769,                 0.6995,                0.33167,                 1.7875,                  1.234,                 1.4477,               0.009109,               0.009109,               0.009109
                     93,                 1.6898,                 1.3603,                 1.3954,                0.73561,                0.62984,                0.70035,                0.33167,                 1.7878,                 1.2336,                 1.4467,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.6892,                  1.364,                 1.3933,                0.73542,                0.63128,                0.70331,                0.33233,                 1.7888,                 1.2324,                 1.4471,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.6841,                 1.3493,                 1.3889,                0.73768,                0.63143,                0.70353,                0.33367,                 1.7899,                 1.2307,                 1.4469,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.6814,                 1.3504,                 1.3877,                0.74054,                 0.6241,                0.70256,                0.33269,                 1.7913,                 1.2297,                 1.4468,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.6822,                 1.3559,                 1.3867,                0.73782,                0.62339,                0.69956,                0.33266,                  1.791,                 1.2298,                 1.4457,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.6847,                 1.3512,                 1.3864,                0.73584,                0.62769,                0.70189,                0.33325,                 1.7903,                 1.2298,                 1.4443,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.6825,                 1.3504,                  1.386,                0.73004,                0.63242,                0.69939,                0.33249,                 1.7923,                  1.229,                 1.4441,              0.0090397,              0.0090397,              0.0090397
